Company,BeanOrigin,Rating,CocoaPercent,CocoaFraction
Arete,Hacienda Victoria,3.25,70.0,0.7
Arete,Costa Esmeraldas,3.25,70.0,0.7
Arete,Lachua,3.5,70.0,0.7
Arete,Rugoso,3.75,70.0,0.7
Arete,"La Masica, FHIA",3.5,70.0,0.7
Arete,"Coto Brus, Terciopelo",4.0,70.0,0.7
Arete,Phantom,4.0,70.0,0.7
Arete,Elvesia,3.75,70.0,0.7
Arete,Matasawalevu,3.25,70.0,0.7
Arete,Lam Dong,3.25,73.0,0.73
Arete,Fazenda Camboa,3.5,70.0,0.7
Arete,Nacional,3.5,68.0,0.68
Arete,"Puerto Quito, heirloom",3.75,70.0,0.7
Arete,Oko Caribe,3.5,70.0,0.7
Arete,Maya Mountain,3.75,70.0,0.7
Arete,Chuno,4.0,70.0,0.7
Arete,Fazenda Camboa,2.75,75.0,0.75
Arete,Guatemala,3.25,70.0,0.7
Arete,Camino Verde,3.5,75.0,0.75
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",3.25,72.0,0.72
Artisan du Chocolat,"Colombia, Casa Luker",3.75,72.0,0.72
Artisan du Chocolat,Haiti,4.0,72.0,0.72
Artisan du Chocolat,Panama,2.75,72.0,0.72
Artisan du Chocolat,Venezuela,1.75,100.0,1.0
Artisan du Chocolat,Jamaica,3.75,72.0,0.72
Artisan du Chocolat,Costa Rica,3.25,72.0,0.72
Artisan du Chocolat,Ba Ria Vung Tau Province,3.25,72.0,0.72
Artisan du Chocolat,Bali,3.5,72.0,0.72
Artisan du Chocolat,"Ocumare, Venezuela",2.5,75.0,0.75
Artisan du Chocolat,Java,2.75,72.0,0.72
Artisan du Chocolat,Brazil Rio Doce,1.75,72.0,0.72
Artisan du Chocolat,Madagascar,3.0,80.0,0.8
Artisan du Chocolat,Peru,3.0,75.0,0.75
Artisan du Chocolat,Dominican Republic,3.25,72.0,0.72
Artisan du Chocolat,Congo,3.75,72.0,0.72
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",2.75,72.0,0.72
Askinosie,Mababa,3.75,68.0,0.68
Askinosie,"Tenende, Uwate",3.75,72.0,0.72
Askinosie,Cortes,3.75,70.0,0.7
Askinosie,Davao,3.75,77.0,0.77
Askinosie,Xoconusco,2.5,75.0,0.75
Askinosie,San Jose del Tambo,3.0,70.0,0.7
Bahen & Co.,Houseblend,3.25,80.0,0.8
Bahen & Co.,Papua New Guinea,3.5,70.0,0.7
Bahen & Co.,Sambirano,3.0,70.0,0.7
Bahen & Co.,Bahia,2.5,70.0,0.7
Bahen & Co.,Houseblend,2.5,70.0,0.7
Bakau,"Bambamarca, 2015",2.75,70.0,0.7
Bakau,"Huallabamba, 2015",3.5,70.0,0.7
Bar Au Chocolat,Bahia,3.5,70.0,0.7
Bar Au Chocolat,Maranon Canyon,4.0,70.0,0.7
Bar Au Chocolat,Duarte Province,3.25,70.0,0.7
Bar Au Chocolat,Chiapas,3.5,70.0,0.7
Bar Au Chocolat,Sambirano,3.75,70.0,0.7
Baravelli's,single estate,2.75,80.0,0.8
Batch,"Dominican Republic, Batch 3",3.5,65.0,0.65
Batch,Brazil,3.75,70.0,0.7
Batch,Ecuador,3.25,65.0,0.65
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",3.0,73.0,0.73
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",3.25,72.0,0.72
Beehive,"Brazil, Batch 20316",2.75,80.0,0.8
Beehive,"Dominican Republic, Batch 31616",2.75,70.0,0.7
Beehive,"Ecuador, Batch 31516",2.75,70.0,0.7
Beehive,Ecuador,2.75,90.0,0.9
Belcolade,Costa Rica,2.75,64.0,0.64
Belcolade,Papua New Guinea,2.75,64.0,0.64
Belcolade,Peru,2.75,64.0,0.64
Belcolade,Ecuador,3.5,71.0,0.71
Bellflower,"Kakao Kamili, Kilombero Valley",3.5,70.0,0.7
Bellflower,"Alto Beni, Palos Blanco",3.25,70.0,0.7
Bellflower,"Oko Caribe, Duarte P.",3.5,70.0,0.7
Belyzium,"Belize south, low fermentation",2.75,83.0,0.83
Belyzium,Belize south,3.0,78.0,0.78
Belyzium,Belize south,3.5,83.0,0.83
Benoit Nihant,Baracoa,3.5,74.0,0.74
Benoit Nihant,Chuao,3.5,74.0,0.74
Benoit Nihant,Cuyagua Village,3.5,74.0,0.74
Benoit Nihant,Rio Peripa H.,4.0,73.0,0.73
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",4.0,72.0,0.72
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",3.75,72.0,0.72
Bernachon,Nature,2.75,55.0,0.55
Beschle (Felchlin),Madagascar,3.0,64.0,0.64
Beschle (Felchlin),Maracaibo,3.0,88.0,0.88
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",3.5,72.0,0.72
Beschle (Felchlin),Ecuador,4.0,72.0,0.72
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",3.25,70.0,0.7
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",3.25,74.0,0.74
Beschle (Felchlin),"Java, Grand Cru",3.5,64.0,0.64
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",3.5,72.0,0.72
Bisou,"Nicaragua, American style",2.5,76.0,0.76
Bisou,"San Andres, American style",2.5,76.0,0.76
Bisou,"San Andres, silk",2.5,78.0,0.78
Bisou,Belize,3.25,86.0,0.86
Bittersweet Origins,Ghana,3.5,72.0,0.72
Bittersweet Origins,"Bali, Singaraja",3.25,75.0,0.75
Bittersweet Origins,2009 Hapa Nibby,3.75,70.0,0.7
Bittersweet Origins,"Bali, Singaraja",2.75,65.0,0.65
Bittersweet Origins,"Sambirano, 2009",3.0,70.0,0.7
Bittersweet Origins,"Ocumare, prototype",3.0,78.0,0.78
Bittersweet Origins,Puerto Plata,3.0,75.0,0.75
Bittersweet Origins,Puerto Plata,3.5,65.0,0.65
Bittersweet Origins,Sambirano,3.25,75.0,0.75
Bittersweet Origins,Sambirano,3.5,65.0,0.65
Bittersweet Origins,Sambirano,3.0,71.0,0.71
Bittersweet Origins,Bocas del Toro,3.5,75.0,0.75
Bittersweet Origins,Puerto Plata,3.75,68.0,0.68
Bittersweet Origins,Ankasa,3.0,70.0,0.7
Black Mountain,La Red,2.75,70.0,0.7
Black Mountain,Carenero Superior,2.75,70.0,0.7
Black Mountain,Matiguas,3.0,70.0,0.7
Black River (A. Morin),Blue Mountain Region,2.75,70.0,0.7
Blanxart,"Congo, Grand Cru",3.5,82.0,0.82
Blanxart,Organic Dark,2.75,72.0,0.72
Blue Bandana,"Akesson's E., Sambirano V.",3.5,82.0,0.82
Blue Bandana,Lachua,2.75,75.0,0.75
Blue Bandana,Kokoa Kamili,3.5,75.0,0.75
Blue Bandana,Zorzal Reserva,3.0,75.0,0.75
Blue Bandana,Guatemala,3.5,70.0,0.7
Blue Bandana,Madagascar,3.75,70.0,0.7
Bonnat,Selva Maya,3.5,75.0,0.75
Bonnat,Kaori,4.0,75.0,0.75
Bonnat,"Los Colorados, Santo Domingo, Equateur",3.25,75.0,0.75
Bonnat,Surfin,3.75,65.0,0.65
Bonnat,Maragnam,3.5,75.0,0.75
Bonnat,Gabon,3.25,75.0,0.75
Bonnat,Cuba,3.5,75.0,0.75
Bonnat,"Cusco, Cacao Cusco",3.5,75.0,0.75
Bonnat,Piura Blanco,3.5,75.0,0.75
Bonnat,Libanio,3.75,75.0,0.75
Bonnat,Haiti,4.0,75.0,0.75
Bonnat,"Madagascar, 100% criollo",4.0,75.0,0.75
Bonnat,Juliana,3.5,75.0,0.75
Bonnat,Jamaique,3.25,75.0,0.75
Bonnat,Ivory Coast,3.0,75.0,0.75
Bonnat,"Porcelana, Apotequil",2.75,75.0,0.75
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",3.0,75.0,0.75
Bonnat,"Xoconusco, cacao Real",3.0,75.0,0.75
Bonnat,"Porcelana, Venezuela",4.0,75.0,0.75
Bonnat,Equateur,2.5,75.0,0.75
Bonnat,Trinite,3.75,75.0,0.75
Bonnat,"Ocumare, Puerto Cabello",4.0,75.0,0.75
Bonnat,"Maracaibo, El Rosario",4.0,75.0,0.75
Bonnat,Madagascar,4.0,75.0,0.75
Bonnat,One Hundred,1.5,100.0,1.0
Bonnat,Ceylan,3.0,75.0,0.75
Bonnat,Chuao,4.0,75.0,0.75
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",3.25,77.0,0.77
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",1.5,100.0,1.0
Bowler Man,Maya Mountain,2.75,70.0,0.7
Bowler Man,Conacado,2.75,70.0,0.7
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",3.5,70.0,0.7
Brasstown aka It's Chocolate,"O'payo, Waslala",3.75,70.0,0.7
Brasstown aka It's Chocolate,Conacado,3.75,68.0,0.68
Brasstown aka It's Chocolate,Maya Mountain,3.75,70.0,0.7
Brasstown aka It's Chocolate,Chuao,4.0,70.0,0.7
Brasstown aka It's Chocolate,Cooproagro,3.0,72.0,0.72
Brasstown aka It's Chocolate,"Camino Verde, Guayas",3.25,70.0,0.7
Brasstown aka It's Chocolate,Ghana,3.5,75.0,0.75
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",3.5,85.0,0.85
Brazen,Elvesia P.,3.0,60.0,0.6
Brazen,Elvesia P.,3.25,80.0,0.8
Brazen,"Alta Verapaz, 2014",3.5,70.0,0.7
Brazen,Ambolikapiky P.,2.75,80.0,0.8
Brazen,Maya Mountain,3.25,80.0,0.8
Brazen,Ambolikapkly P.,3.25,60.0,0.6
Breeze Mill,Jamaica,3.0,70.0,0.7
Bright,Somia Plantation,3.0,72.0,0.72
Bright,Marabel Farms,3.5,70.0,0.7
Bright,"Camino Verde, Balao, Guayas",3.5,72.0,0.72
Bright,Gran Couva,2.75,68.0,0.68
Britarev,Ecuador,3.25,70.0,0.7
Bronx Grrl Chocolate,Dominican Republic,2.75,68.0,0.68
Burnt Fork Bend,Trinidad,3.25,72.0,0.72
Burnt Fork Bend,Mindo,3.5,72.0,0.72
Burnt Fork Bend,Belize,3.25,72.0,0.72
Burnt Fork Bend,Blend,3.25,72.0,0.72
Burnt Fork Bend,"Ecuador, Bob Bar",2.5,60.0,0.6
Cacao Arabuco,Puerto Rico,2.5,70.0,0.7
Cacao Atlanta,Tumbes,2.5,75.0,0.75
Cacao Atlanta,"Dominican Republic, ""Love Bar""",2.5,75.0,0.75
Cacao Atlanta,Dominican Republic w/ nibs,2.75,75.0,0.75
Cacao Atlanta,Patanemo,2.25,75.0,0.75
Cacao Barry,Grand 'Anse,3.5,65.0,0.65
Cacao Barry,Santo Domingo,3.0,70.0,0.7
Cacao Barry,Tanzania,2.0,75.0,0.75
Cacao Barry,Venezuela,2.0,72.0,0.72
Cacao Barry,Mexico,3.0,66.0,0.66
Cacao de Origen,Chuao,3.5,77.0,0.77
Cacao de Origen,Rio Caribe,3.25,75.0,0.75
Cacao de Origen,Agua Fria; Sucre region,2.5,75.0,0.75
Cacao de Origen,Macuare; Miranda; Chloe formula,3.25,74.0,0.74
Cacao de Origen,"Chuao, Aragua region",3.5,75.0,0.75
Cacao de Origen,"Chuao, Aragua region",3.75,70.0,0.7
Cacao de Origin,Hacienda la Trinidad,3.25,74.0,0.74
Cacao Hunters,Macondo,3.75,71.0,0.71
Cacao Hunters,Perla Negra,3.75,74.0,0.74
Cacao Hunters,Arhuacos,3.75,72.0,0.72
Cacao Hunters,Sierra Nevada,3.5,64.0,0.64
Cacao Hunters,Tumaco,3.5,70.0,0.7
Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",2.75,69.0,0.69
Cacao Hunters,Arauca,3.25,70.0,0.7
Cacao Market,"Jutiapa, lot 050916D",3.5,70.0,0.7
Cacao Prieto,"Criollo, Dominican Republic",3.75,72.0,0.72
Cacao Prieto,"Dominican Republicm, rustic",3.0,72.0,0.72
Cacao Prieto,Dominican Republic,3.75,66.0,0.66
Cacao Prieto,"Dominican Republic, rustic",3.25,65.0,0.65
Cacao Sampaka,"Mahali, Kasai",3.5,70.0,0.7
Cacao Sampaka,Madagascar,3.5,71.0,0.71
Cacao Sampaka,Ecuador,3.75,71.0,0.71
Cacao Sampaka,Papua,4.0,71.0,0.71
Cacao Sampaka,Grenada,3.25,71.0,0.71
Cacao Sampaka,Venezuela,3.5,71.0,0.71
Cacao Sampaka,Venezuela,3.5,77.0,0.77
Cacao Sampaka,"Porcelana, Tabasco, La Joya",4.0,70.0,0.7
Cacao Sampaka,"Xoconusco, Chiapas",4.0,70.0,0.7
Cacao Store,Madagascar,3.0,70.0,0.7
Cacao Store,Peru,3.25,70.0,0.7
Cacao Store,Vietnam,3.5,70.0,0.7
Cacaosuyo (Theobroma Inversiones),Piura,3.25,70.0,0.7
Cacaoyere (Ecuatoriana),Amazonia,3.5,63.0,0.63
Cacaoyere (Ecuatoriana),Esmeraldas,3.5,71.0,0.71
Cacaoyere (Ecuatoriana),Bolivar,2.5,82.0,0.82
Cacaoyere (Ecuatoriana),Pichincha,1.5,91.0,0.91
Callebaut,Grenade,2.75,60.0,0.6
Callebaut,Baking,1.0,70.0,0.7
C-Amaro,Cuba,2.5,75.0,0.75
C-Amaro,Dominican Republic,3.0,72.0,0.72
C-Amaro,"Lago di Como, Blu",3.5,70.0,0.7
C-Amaro,Ecuador,3.5,100.0,1.0
C-Amaro,Venezuela,3.0,80.0,0.8
C-Amaro,Sao Tome,2.25,78.0,0.78
C-Amaro,Trinidad,2.5,70.0,0.7
Cao,Porcelana,2.5,75.0,0.75
Cao,Tanzania,2.75,73.0,0.73
Cao,"Porcelana, Batch 5163",3.0,70.0,0.7
Cao,Bolivia,3.0,75.0,0.75
Cao,Brazil,3.25,70.0,0.7
Caoni (Tulicorp),Esmeraldas,2.0,77.0,0.77
Caoni (Tulicorp),Manabi,2.5,77.0,0.77
Caoni (Tulicorp),Los Rios,2.75,77.0,0.77
Caoni (Tulicorp),Manabi,3.0,55.0,0.55
Caoni (Tulicorp),Los Rios,3.25,55.0,0.55
Caoni (Tulicorp),Esmeraldas,3.5,55.0,0.55
Captain Pembleton,"Saidor Estate, Madang P.",3.5,70.0,0.7
Captain Pembleton,Kulili Estate,3.75,70.0,0.7
Caribeans,"Antigua, Special Reserve",3.5,72.0,0.72
Caribeans,"Talamanca, Raul-Kekoldo community",3.25,72.0,0.72
Caribeans,Anselmo Paraiso Estate,3.5,72.0,0.72
Caribeans,Costa Rica,3.0,72.0,0.72
Caribeans,Costa Rica,2.75,80.0,0.8
Carlotta Chocolat,Arauca,3.0,65.0,0.65
Carlotta Chocolat,Tumaco,3.25,65.0,0.65
Carlotta Chocolat,Cordoba,3.25,65.0,0.65
Carlotta Chocolat,Huila,3.5,65.0,0.65
Carlotta Chocolat,Cesar,3.5,65.0,0.65
Castronovo,"Maya Mtn, Batch 454, Heirloom",4.0,72.0,0.72
Castronovo,"the lost city, gracias a dias, batch 362",3.5,72.0,0.72
Castronovo,"Duarte, Batch 360",3.75,70.0,0.7
Castronovo,"Piaroa, Amazonas, Batch 350",3.5,72.0,0.72
Castronovo,Sierra Nevada,3.5,72.0,0.72
Castronovo,Arauca,3.5,76.0,0.76
Castronovo,Elvesia P.,2.75,70.0,0.7
Castronovo,Bolivia,3.0,70.0,0.7
Castronovo,Conacado,3.5,73.0,0.73
Castronovo,San Martin,2.5,70.0,0.7
Castronovo,"Guaniamo, Amazonas",3.25,70.0,0.7
Castronovo,Nicaragua,3.25,72.0,0.72
Castronovo,Tumbes,2.75,70.0,0.7
Castronovo,Guaniamo,3.0,72.0,0.72
Cello,Ecuador,2.5,70.0,0.7
Cello,Peru,2.75,70.0,0.7
Cello,Venezuela,2.75,70.0,0.7
Cello,Bolivia,3.0,70.0,0.7
Cemoi,Equateur,2.75,72.0,0.72
Chaleur B,Uganda,2.75,70.0,0.7
Charm School,Maya Mtn,3.25,70.0,0.7
Chchukululu (Tulicorp),Arriba,2.75,55.0,0.55
Chchukululu (Tulicorp),Los Rios,3.0,75.0,0.75
Chequessett,la Amistad,3.5,70.0,0.7
Chloe Chocolat,Blend No. 1,3.5,70.0,0.7
Chocablog,Ecuador,3.25,70.0,0.7
Choco Del Sol,Maya Mountain w/ nibs,3.0,75.0,0.75
Choco Del Sol,Maya Mountain,3.25,82.0,0.82
Choco Dong,"Mekong Delta, early 2014 Harvest",2.75,70.0,0.7
Choco Dong,"Tawau, Oct. 2015 Harvest",3.5,70.0,0.7
Chocolarder,Peru,2.5,65.0,0.65
Chocolarder,Peru + nibs,2.75,65.0,0.65
Chocolarder,Dominican Republic,2.5,80.0,0.8
Chocola'te,Madagascar,3.75,70.0,0.7
Chocola'te,Venezuela,3.75,68.0,0.68
Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",2.5,90.0,0.9
Chocolate Alchemist-Philly,"Philly Blend, 5 plantations",2.5,80.0,0.8
Chocolate Con Amor,Wild Bolivian,2.5,70.0,0.7
Chocolate Con Amor,Uganda,2.75,70.0,0.7
Chocolate Con Amor,Dominican Republic,3.0,60.0,0.6
Chocolate Con Amor,Dominican Republic,3.0,75.0,0.75
Chocolate Con Amor,Ocumare,3.0,80.0,0.8
Chocolate Con Amor,Ecuador,3.25,70.0,0.7
Chocolate Con Amor,Nicaragua,2.75,80.0,0.8
Chocolate Conspiracy,Peru,2.75,74.0,0.74
Chocolate Makers,Tres Hombres,3.25,75.0,0.75
Chocolate Makers,"Congo, Gorilla bar",3.5,68.0,0.68
Chocolate Makers,"Peru, Awagum bar",3.75,80.0,0.8
"Chocolate Tree, The",Maranon,3.75,69.0,0.69
"Chocolate Tree, The",Carenero Superior,3.75,80.0,0.8
"Chocolate Tree, The",Peru,3.75,70.0,0.7
"Chocolate Tree, The",Ecuador,2.5,82.0,0.82
"Chocolate Tree, The",Peru,2.75,68.0,0.68
"Chocolate Tree, The",Madagascar,3.25,72.0,0.72
Chocolats Privilege,Xoconusco,2.5,70.0,0.7
ChocoReko,Patanemo,3.0,77.0,0.77
Chocosol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",3.25,65.0,0.65
Chocovic,Xoconusco,3.25,71.0,0.71
Chocovic,Sambirano,3.5,71.0,0.71
Chocovic,Kendari,3.25,60.0,0.6
Chocovic,Tarakan,3.25,75.0,0.75
Chocovic,Ocumare,3.5,71.0,0.71
Chocovic,"Bolivar, Guaranda",2.5,71.0,0.71
Chocovic,Guyave,2.5,71.0,0.71
Chocovic,Maragda,3.0,70.0,0.7
Chocovivo,Tabasco,2.5,65.0,0.65
Chocovivo,Tabasco,2.5,75.0,0.75
Choklat,Ocumare,2.5,80.0,0.8
Choklat,"Porcelana, Tabasco",2.75,70.0,0.7
Choklat,Brazilian,3.0,70.0,0.7
Choklat,Brazilian,3.0,80.0,0.8
Choklat,Ocumare,3.0,70.0,0.7
Chokolat Elot (Girard),Guadeloupe,2.75,42.0,0.42
Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",3.25,75.0,0.75
Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4",3.75,68.0,0.68
Chuao Chocolatier,Choroni,3.0,61.0,0.61
Chuao Chocolatier (Pralus),Chuao,2.75,77.0,0.77
Claudio Corallo,Terreiro Velho P.,3.75,73.5,0.735
Claudio Corallo,Terreiro Velho P. w/ sugar crystals,3.0,80.0,0.8
Claudio Corallo,Terreiro Velho P.,4.0,75.0,0.75
Claudio Corallo,Principe,1.0,100.0,1.0
Cloudforest,"Camino Verde P., Balao, Guayas, 2014",3.5,73.0,0.73
Coleman & Davis,Sambirano,3.0,75.0,0.75
Compania de Chocolate (Salgado),Sur del Lago,3.25,70.0,0.7
Compania de Chocolate (Salgado),Carenero Superior,2.75,80.0,0.8
Compania de Chocolate (Salgado),Moxos,3.25,72.0,0.72
Compania de Chocolate (Salgado),Ocumare,3.75,70.0,0.7
Compania de Chocolate (Salgado),Esmeraldas,2.75,88.0,0.88
Condor,Camino Verde,3.5,76.0,0.76
Confluence,"Tien Giang, 2015, batch 10-2-16",2.75,78.0,0.78
Coppeneur,"Ecuador, Puristique",3.25,65.0,0.65
Coppeneur,Ghana Puristique,3.5,85.0,0.85
Coppeneur,Ecuador Puristique,1.5,100.0,1.0
Coppeneur,Uba Budo,3.75,72.0,0.72
Coppeneur,Madagascar,3.5,70.0,0.7
Coppeneur,Grenada,3.25,72.0,0.72
Coppeneur,Chuao,3.0,70.0,0.7
Coppeneur,"Los Rios, H. Iara",2.5,72.0,0.72
Coppeneur,Trinidad,3.0,72.0,0.72
Coppeneur,Jamaica,3.25,72.0,0.72
Coppeneur,Ocumare 61,3.25,72.0,0.72
Coppeneur,"Porcelana, Apotequil",3.0,72.0,0.72
Coppeneur,"Porcelana, Apotequil",3.25,62.0,0.62
Coppeneur,Chuao 100hr,3.5,70.0,0.7
Coppeneur,Chuao 70hr,3.75,70.0,0.7
Coppeneur,"Porcelana, Tabasco, Mexico",3.0,72.0,0.72
Coppeneur,"Porcelana, Venezuela",3.0,72.0,0.72
Coppeneur,"Sambirano, Menava P.",3.0,72.0,0.72
Cote d' Or (Kraft),Sensations Intense,1.0,70.0,0.7
Cravve,New Ireland,2.5,70.0,0.7
Cravve,"Vanuatu, batch 2410",2.75,83.0,0.83
Cravve,"Tanzania, batch a1",3.25,75.0,0.75
Cravve,"Bahia, batch a1213",3.25,65.0,0.65
Cravve,"Namau Village, N. Taileva P., batch a2812",3.25,67.0,0.67
Cravve,Vanuatu,3.25,64.0,0.64
Cravve,Djual Island,3.5,75.0,0.75
Creo,"""heirloom"", Arriba Nacional",3.25,85.0,0.85
Creo,"""heirloom"", Arriba Nacional",3.75,73.0,0.73
Daintree,Goodman Estate,2.75,70.0,0.7
Daintree,"Daintree Estates, N. Queensland",3.25,70.0,0.7
Dalloway,"Dominican Republic, batch 7",2.75,72.0,0.72
Damson,Robson Estate,3.0,70.0,0.7
Damson,Los Rios,3.5,70.0,0.7
Damson,Crayfish Bay aka Non Pariel Estate,2.25,70.0,0.7
Damson,O'Payo,2.75,70.0,0.7
Dandelion,"Zorzal Reserva, 2015 H., Kerchner",3.75,70.0,0.7
